locale,ID,customerName
en,a0000000-0000-0000-0000-000000001001,TechNova Solutions
de,a0000000-0000-0000-0000-000000001001,TechNova Solutions GmbH
en,a0000000-0000-0000-0000-000000001002,Global Industries
en,a0000000-0000-0000-0000-000000001003,Apex Corp
en,a0000000-0000-0000-0000-000000001004,Zenith Logistics
en,a0000000-0000-0000-0000-000000001005,Quantum Dynamics
en,a0000000-0000-0000-0000-000000001006,TechNova Solutions
en,a0000000-0000-0000-0000-000000001007,Nexus Health
en,a0000000-0000-0000-0000-000000001008,Global Industries
en,a0000000-0000-0000-0000-000000001009,Starlight Ventures
en,a0000000-0000-0000-0000-000000001010,Apex Corp
en,a0000000-0000-0000-0000-000000001011,Pioneer Manufacturing
en,a0000000-0000-0000-0000-000000001012,Zenith Logistics
en,a0000000-0000-0000-0000-000000001013,Silverline Retail
en,a0000000-0000-0000-0000-000000001014,Quantum Dynamics
en,a0000000-0000-0000-0000-000000001015,BlueWave Energy
en,a0000000-0000-0000-0000-000000001016,TechNova Solutions
en,a0000000-0000-0000-0000-000000001017,Nexus Health
en,a0000000-0000-0000-0000-000000001018,Global Industries
en,a0000000-0000-0000-0000-000000001019,Starlight Ventures
en,a0000000-0000-0000-0000-000000001020,Apex Corp
en,a0000000-0000-0000-0000-000000001021,Pioneer Manufacturing
en,a0000000-0000-0000-0000-000000001022,Zenith Logistics
en,a0000000-0000-0000-0000-000000001023,Silverline Retail
en,a0000000-0000-0000-0000-000000001024,Quantum Dynamics
en,a0000000-0000-0000-0000-000000001025,BlueWave Energy
en,a0000000-0000-0000-0000-000000001026,TechNova Solutions
en,a0000000-0000-0000-0000-000000001027,Nexus Health
en,a0000000-0000-0000-0000-000000001028,Global Industries
en,a0000000-0000-0000-0000-000000001029,Starlight Ventures
en,a0000000-0000-0000-0000-000000001030,Apex Corp
en,a0000000-0000-0000-0000-000000001031,Pioneer Manufacturing
en,a0000000-0000-0000-0000-000000001032,Zenith Logistics
en,a0000000-0000-0000-0000-000000001033,Silverline Retail
en,a0000000-0000-0000-0000-000000001034,Quantum Dynamics
en,a0000000-0000-0000-0000-000000001035,BlueWave Energy
en,a0000000-0000-0000-0000-000000001036,TechNova Solutions
en,a0000000-0000-0000-0000-000000001037,Nexus Health
en,a0000000-0000-0000-0000-000000001038,Global Industries
en,a0000000-0000-0000-0000-000000001039,Starlight Ventures
en,a0000000-0000-0000-0000-000000001040,Apex Corp
en,a0000000-0000-0000-0000-000000001041,Pioneer Manufacturing
en,a0000000-0000-0000-0000-000000001042,Zenith Logistics
en,a0000000-0000-0000-0000-000000001043,Silverline Retail
en,a0000000-0000-0000-0000-000000001044,Quantum Dynamics
en,a0000000-0000-0000-0000-000000001045,BlueWave Energy
en,a0000000-0000-0000-0000-000000001046,TechNova Solutions
en,a0000000-0000-0000-0000-000000001047,Nexus Health
en,a0000000-0000-0000-0000-000000001048,Global Industries
en,a0000000-0000-0000-0000-000000001049,Starlight Ventures
en,a0000000-0000-0000-0000-000000001050,Apex Corp
en,a0000000-0000-0000-0000-000000001051,Pioneer Manufacturing
en,a0000000-0000-0000-0000-000000001052,Zenith Logistics
en,a0000000-0000-0000-0000-000000001053,Silverline Retail
en,a0000000-0000-0000-0000-000000001054,Quantum Dynamics
en,a0000000-0000-0000-0000-000000001055,BlueWave Energy
en,a0000000-0000-0000-0000-000000001056,TechNova Solutions
en,a0000000-0000-0000-0000-000000001057,Nexus Health
en,a0000000-0000-0000-0000-000000001058,Global Industries
en,a0000000-0000-0000-0000-000000001059,Starlight Ventures
en,a0000000-0000-0000-0000-000000001060,Apex Corp
en,a0000000-0000-0000-0000-000000001061,Pioneer Manufacturing
en,a0000000-0000-0000-0000-000000001062,Zenith Logistics
en,a0000000-0000-0000-0000-000000001063,Silverline Retail
en,a0000000-0000-0000-0000-000000001064,Quantum Dynamics
en,a0000000-0000-0000-0000-000000001065,BlueWave Energy
en,a0000000-0000-0000-0000-000000001066,TechNova Solutions
en,a0000000-0000-0000-0000-000000001067,Nexus Health
en,a0000000-0000-0000-0000-000000001068,Global Industries
en,a0000000-0000-0000-0000-000000001069,Starlight Ventures
en,a0000000-0000-0000-0000-000000001070,Apex Corp
en,a0000000-0000-0000-0000-000000001071,Pioneer Manufacturing
en,a0000000-0000-0000-0000-000000001072,Zenith Logistics
en,a0000000-0000-0000-0000-000000001073,Silverline Retail
en,a0000000-0000-0000-0000-000000001074,Quantum Dynamics
en,a0000000-0000-0000-0000-000000001075,BlueWave Energy
en,a0000000-0000-0000-0000-000000001076,TechNova Solutions
en,a0000000-0000-0000-0000-000000001077,Nexus Health
en,a0000000-0000-0000-0000-000000001078,Global Industries
en,a0000000-0000-0000-0000-000000001079,Starlight Ventures
en,a0000000-0000-0000-0000-000000001080,Apex Corp
en,a0000000-0000-0000-0000-000000001081,Pioneer Manufacturing
en,a0000000-0000-0000-0000-000000001082,Zenith Logistics
en,a0000000-0000-0000-0000-000000001083,Silverline Retail
en,a0000000-0000-0000-0000-000000001084,Quantum Dynamics
en,a0000000-0000-0000-0000-000000001085,BlueWave Energy
en,a0000000-0000-0000-0000-000000001086,TechNova Solutions
en,a0000000-0000-0000-0000-000000001087,Nexus Health
en,a0000000-0000-0000-0000-000000001088,Global Industries
en,a0000000-0000-0000-0000-000000001089,Starlight Ventures
en,a0000000-0000-0000-0000-000000001090,Apex Corp
en,a0000000-0000-0000-0000-000000001091,Pioneer Manufacturing
en,a0000000-0000-0000-0000-000000001092,Zenith Logistics
en,a0000000-0000-0000-0000-000000001093,Silverline Retail
en,a0000000-0000-0000-0000-000000001094,Quantum Dynamics
en,a0000000-0000-0000-0000-000000001095,BlueWave Energy
en,a0000000-0000-0000-0000-000000001096,TechNova Solutions
en,a0000000-0000-0000-0000-000000001097,Nexus Health
en,a0000000-0000-0000-0000-000000001098,Global Industries
en,a0000000-0000-0000-0000-000000001099,Starlight Ventures
en,a0000000-0000-0000-0000-000000001100,Apex Corp
en,a0000000-0000-0000-0000-000000001101,Pioneer Manufacturing
de,a0000000-0000-0000-0000-000000001002,Global Industries AG
de,a0000000-0000-0000-0000-000000001003,Apex Corp GmbH
de,a0000000-0000-0000-0000-000000001004,Zenith Logistics AG
de,a0000000-0000-0000-0000-000000001005,Quantum Dynamics GmbH
de,a0000000-0000-0000-0000-000000001006,TechNova Solutions GmbH
de,a0000000-0000-0000-0000-000000001007,Nexus Health AG
de,a0000000-0000-0000-0000-000000001008,Global Industries AG
de,a0000000-0000-0000-0000-000000001009,Starlight Ventures GmbH
de,a0000000-0000-0000-0000-000000001010,Apex Corp GmbH
de,a0000000-0000-0000-0000-000000001011,Pioneer Manufacturing AG
de,a0000000-0000-0000-0000-000000001012,Zenith Logistics AG
de,a0000000-0000-0000-0000-000000001013,Silverline Retail GmbH
de,a0000000-0000-0000-0000-000000001014,Quantum Dynamics GmbH
de,a0000000-0000-0000-0000-000000001015,BlueWave Energy AG
de,a0000000-0000-0000-0000-000000001016,TechNova Solutions GmbH
de,a0000000-0000-0000-0000-000000001017,Nexus Health AG
de,a0000000-0000-0000-0000-000000001018,Global Industries AG
de,a0000000-0000-0000-0000-000000001019,Starlight Ventures GmbH
de,a0000000-0000-0000-0000-000000001020,Apex Corp GmbH
de,a0000000-0000-0000-0000-000000001021,Pioneer Manufacturing AG
de,a0000000-0000-0000-0000-000000001022,Zenith Logistics AG
de,a0000000-0000-0000-0000-000000001023,Silverline Retail GmbH
de,a0000000-0000-0000-0000-000000001024,Quantum Dynamics GmbH
de,a0000000-0000-0000-0000-000000001025,BlueWave Energy AG
de,a0000000-0000-0000-0000-000000001026,TechNova Solutions GmbH
de,a0000000-0000-0000-0000-000000001027,Nexus Health AG
de,a0000000-0000-0000-0000-000000001028,Global Industries AG
de,a0000000-0000-0000-0000-000000001029,Starlight Ventures GmbH
de,a0000000-0000-0000-0000-000000001030,Apex Corp GmbH
de,a0000000-0000-0000-0000-000000001031,Pioneer Manufacturing AG
de,a0000000-0000-0000-0000-000000001032,Zenith Logistics AG
de,a0000000-0000-0000-0000-000000001033,Silverline Retail GmbH
de,a0000000-0000-0000-0000-000000001034,Quantum Dynamics GmbH
de,a0000000-0000-0000-0000-000000001035,BlueWave Energy AG
de,a0000000-0000-0000-0000-000000001036,TechNova Solutions GmbH
de,a0000000-0000-0000-0000-000000001037,Nexus Health AG
de,a0000000-0000-0000-0000-000000001038,Global Industries AG
de,a0000000-0000-0000-0000-000000001039,Starlight Ventures GmbH
de,a0000000-0000-0000-0000-000000001040,Apex Corp GmbH
de,a0000000-0000-0000-0000-000000001041,Pioneer Manufacturing AG
de,a0000000-0000-0000-0000-000000001042,Zenith Logistics AG
de,a0000000-0000-0000-0000-000000001043,Silverline Retail GmbH
de,a0000000-0000-0000-0000-000000001044,Quantum Dynamics GmbH
de,a0000000-0000-0000-0000-000000001045,BlueWave Energy AG
de,a0000000-0000-0000-0000-000000001046,TechNova Solutions GmbH
de,a0000000-0000-0000-0000-000000001047,Nexus Health AG
de,a0000000-0000-0000-0000-000000001048,Global Industries AG
de,a0000000-0000-0000-0000-000000001049,Starlight Ventures GmbH
de,a0000000-0000-0000-0000-000000001050,Apex Corp GmbH
de,a0000000-0000-0000-0000-000000001051,Pioneer Manufacturing AG
de,a0000000-0000-0000-0000-000000001052,Zenith Logistics AG
de,a0000000-0000-0000-0000-000000001053,Silverline Retail GmbH
de,a0000000-0000-0000-0000-000000001054,Quantum Dynamics GmbH
de,a0000000-0000-0000-0000-000000001055,BlueWave Energy AG
de,a0000000-0000-0000-0000-000000001056,TechNova Solutions GmbH
de,a0000000-0000-0000-0000-000000001057,Nexus Health AG
de,a0000000-0000-0000-0000-000000001058,Global Industries AG
de,a0000000-0000-0000-0000-000000001059,Starlight Ventures GmbH
de,a0000000-0000-0000-0000-000000001060,Apex Corp GmbH
de,a0000000-0000-0000-0000-000000001061,Pioneer Manufacturing AG
de,a0000000-0000-0000-0000-000000001062,Zenith Logistics AG
de,a0000000-0000-0000-0000-000000001063,Silverline Retail GmbH
de,a0000000-0000-0000-0000-000000001064,Quantum Dynamics GmbH
de,a0000000-0000-0000-0000-000000001065,BlueWave Energy AG
de,a0000000-0000-0000-0000-000000001066,TechNova Solutions GmbH
de,a0000000-0000-0000-0000-000000001067,Nexus Health AG
de,a0000000-0000-0000-0000-000000001068,Global Industries AG
de,a0000000-0000-0000-0000-000000001069,Starlight Ventures GmbH
de,a0000000-0000-0000-0000-000000001070,Apex Corp GmbH
de,a0000000-0000-0000-0000-000000001071,Pioneer Manufacturing AG
de,a0000000-0000-0000-0000-000000001072,Zenith Logistics AG
de,a0000000-0000-0000-0000-000000001073,Silverline Retail GmbH
de,a0000000-0000-0000-0000-000000001074,Quantum Dynamics GmbH
de,a0000000-0000-0000-0000-000000001075,BlueWave Energy AG
de,a0000000-0000-0000-0000-000000001076,TechNova Solutions GmbH
de,a0000000-0000-0000-0000-000000001077,Nexus Health AG
de,a0000000-0000-0000-0000-000000001078,Global Industries AG
de,a0000000-0000-0000-0000-000000001079,Starlight Ventures GmbH
de,a0000000-0000-0000-0000-000000001080,Apex Corp GmbH
de,a0000000-0000-0000-0000-000000001081,Pioneer Manufacturing AG
de,a0000000-0000-0000-0000-000000001082,Zenith Logistics AG
de,a0000000-0000-0000-0000-000000001083,Silverline Retail GmbH
de,a0000000-0000-0000-0000-000000001084,Quantum Dynamics GmbH
de,a0000000-0000-0000-0000-000000001085,BlueWave Energy AG
de,a0000000-0000-0000-0000-000000001086,TechNova Solutions GmbH
de,a0000000-0000-0000-0000-000000001087,Nexus Health AG
de,a0000000-0000-0000-0000-000000001088,Global Industries AG
de,a0000000-0000-0000-0000-000000001089,Starlight Ventures GmbH
de,a0000000-0000-0000-0000-000000001090,Apex Corp GmbH
de,a0000000-0000-0000-0000-000000001091,Pioneer Manufacturing AG
de,a0000000-0000-0000-0000-000000001092,Zenith Logistics AG
de,a0000000-0000-0000-0000-000000001093,Silverline Retail GmbH
de,a0000000-0000-0000-0000-000000001094,Quantum Dynamics GmbH
de,a0000000-0000-0000-0000-000000001095,BlueWave Energy AG
de,a0000000-0000-0000-0000-000000001096,TechNova Solutions GmbH
de,a0000000-0000-0000-0000-000000001097,Nexus Health AG
de,a0000000-0000-0000-0000-000000001098,Global Industries AG
de,a0000000-0000-0000-0000-000000001099,Starlight Ventures GmbH
de,a0000000-0000-0000-0000-000000001100,Apex Corp GmbH
de,a0000000-0000-0000-0000-000000001101,Pioneer Manufacturing AG